surrounding words	9-20103-S
surroundings	9-41574-S,13-11289-B,18-32123-S,20-51709-S,43-4994-B
surroundings and movement	10-1986-S
surveillance	45-10151-S
surveillance aircraft	6-20475-B
survey	10-2961-S,10-3396-S,11-64637-S,16-939-S,16-1002-S,20-13970-S,31-48761-S,31-48761-S,34-37959-B,39-3516-S,39-4602-B,43-7312-B,45-39304-S,49-64175-S,50-30509-S,50-30570-S,57-42113-S,58-37968-S,58-37968-B,60-46524-S
survey and draw	39-4327-S
survey and evaluate	39-3996-S
survey and measure	39-4385-S
survey and research workers	58-38748-B
survey cgs	2-57009-S
survey comprehensively	50-30570-S
survey meter	21-51525-B
surveying	1-42419-S
surveyor s pole	34-53394-S
surveyor s rod	34-52652-B
survivability	33-60724-S
survival	19-8190-B,45-26532-S,45-26684-S
survival of the fittest	62-65609-B
survival rate	19-8264-S
survive	19-7194-B,35-62128-S,35-62388-S,37-63429-S,43-20066-S,51-36085-S
survive a serious accident	19-8190-S
surviving chinese dictionary	41-43419-S
surviving manuscript	63-3501-B
surviving members of evil former regime	69-15315-B
surviving section of a classic work	35-62276-B
survivor	22-51284-B,43-30323-B
survivor of a disaster	22-51225-B
susan from the narnia chronicles	55-40249-B
susceptible	29-62911-B
sushi	16-38209-B,70-42595-B
susong place in anhui	20-609-S
suspect	13-63129-S,18-58581-S,18-58871-S,18-59022-S,18-59076-S,24-35490-S,26-1333-S,38-34879-S,42-12550-B,42-12737-S,44-3563-S,44-4632-S
suspect everyone	44-4732-S
suspect in a crime	38-34816-S
suspect into a confession	18-8794-S
suspected of	18-58959-S
suspend	2-74275-S,12-42489-S,26-1919-B,26-2415-S,26-2576-B,28-19201-S,31-64833-B,50-54159-B,61-14496-B
suspend an agreement	12-44876-S
suspend service flight	6-17166-S
suspended	15-54804-B,26-2576-S,26-2787-B,28-36407-S,65-46629-B
suspended animation	6-8709-B
suspended from a beam and struck as a xylophone	50-20522-S
suspended hook	12-44814-B
suspended matter	26-2647-B
suspended or underlung	12-43183-S
suspended particles	66-21704-S
suspended temple near yanyuan in shanxi	26-2882-S
suspenders	52-17491-B
suspenders for stockings	12-44573-B
suspense	26-2745-B,63-52972-S
suspense in a movie	26-2360-B
suspension	26-2576-B
suspension bridge	12-43592-B,26-2986-B
suspension cable car	26-2415-B
suspension of atmospheric pollution	26-2647-B
suspicion	18-58626-B,18-58915-B,18-58959-B,18-59245-B,26-1333-B,43-9041-S,44-4129-B,44-4216-B,63-6465-S,63-6465-S
suspicions	23-28488-S,24-36222-S,33-13429-S,44-4129-S,44-4129-S,44-5095-S
suspicious	6-55996-B,12-15360-B,16-57402-B,42-6628-B,42-12737-B,44-4732-S
suspicious and fearful	25-26486-B
suspicious and jealous	44-4258-B
suspicious and jealous of	42-12489-S
sustain	26-62259-S,26-62620-S,29-33034-B,29-37208-S
sustain a loss	54-61691-B
sustain injuries	11-59971-S
sustain loss	62-66249-B
sustain loss in trade	5-61249-S
sustain upper storeys of ancestor worship	26-62739-S
sustainable	27-56760-B
sustainable development	12-13675-B
sustained	50-12425-S
sustaining	53-12814-S
sutra	17-33076-S,24-37288-S,53-36776-S,53-36914-S,54-32811-S,54-32946-S,54-33076-S,57-51152-S
sutra every living thing has buddha nature	17-21660-S,38-28231-S
sutra garland sutra	54-32811-S
sutra in forty two sections spoken by the buddha	14-47042-S
sutra of the huayan school	54-32946-S,54-33076-S
sutras	10-50098-S,37-31142-S,49-58982-B,58-30859-S,63-52599-B
suture in surgery	50-26631-B
suu kyi 1945 	31-18091-S,31-18170-S,51-16784-S
suva capital of fiji	55-40317-B
suxian district district in anhui	19-67701-S
suyin	68-12698-S
suzhen	44-43923-S
suzhou	4-17927-S
suzhou creek river in shanghai	53-64036-B
suzhou dialect	55-38722-B
suzhou or soochow university	55-38555-B
suzhou prefecture level city in anhui	19-66936-B,19-67007-B
suzhou prefecture level city in jiangsu	55-38404-B,55-38638-B
suzhou region in jiangsu	55-38477-B
suzhou shanghai dialect	12-69761-S,12-69879-S
suzuki	64-22150-B
suì 穗	23-12260-S,23-12418-S
sv	22-20839-S,57-17135-S
svadhisthana	43-22042-S
svc	3-69660-B
svd	59-25777-S
svelte	68-57782-B
sven hedin 1865 1952	30-40858-B,30-40945-B
sverdlov 1885 1919	30-42280-S
sverdlovsk	54-51437-S
svolvær city in nordland	30-42134-B
svādhisthāna or svadhisthana	43-22042-B
swab	27-47364-B,27-47436-S,34-18836-B,34-18942-S,34-19246-S,55-35089-S
swagger	60-40487-B
swaggering	17-19151-B
swahili	30-41818-B
swahili language	30-41877-B
swallow	12-64686-S,12-65023-S,13-30871-S,14-36309-S,14-39475-S,14-40779-S,19-63060-S,41-28824-B,41-29798-S,53-43202-S,60-57283-S,64-27690-S,71-1942-S
swallow a type of bird	41-28315-B
swallow an insult	24-43144-S
swallow bird	70-51314-S
swallow chick	67-3197-B
swallow know the will of the great swan 成语 saw	41-29558-S
swallow one s cries	12-65630-S
swallow s congratulation 成语 saw	41-29877-S
swallow tailed coat	41-28863-B
swallow up	5-11843-B,5-27147-S,10-17486-S,12-65421-S
swallowing gold	12-65688-S
swallowing sound	14-29724-S
swallows and martins	41-29083-S
swamp	37-25450-B,37-25510-B,37-25575-B,37-43168-B,37-43207-S,47-54613-S,47-56794-B,54-38398-B
swamp eel	71-25296-B
swan	17-55253-B,20-62409-S,70-56024-B,70-56982-B
swan goose	70-55979-B
swan lake	17-55356-B
swan 成语 saw	41-29558-S
swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
swap	3-68838-S,20-50460-S,58-37575-S
swap places	20-56541-S,28-45967-S
swap positions	28-13177-S
swapping	41-19480-S
swarm	29-17491-S,56-3244-S,56-3502-S
swarm around	1-9857-S
swarm of bees	1-16401-S
swarm of insects	51-17204-S
swarming	55-22883-B
swarming with disaster victims	13-33136-S
swarms around pushing and shouting	1-16401-S
swarthy	71-28941-S
swastika	10-61757-B
swat an insect	26-48644-S
swatow	36-55572-B
sway	26-53991-B,27-41563-S,28-53841-B,28-54160-S,28-54220-S,29-29543-B,31-43035-B,33-15065-S,45-14367-S,61-23473-S,68-59347-B,68-60477-S
sway from side to side	60-46287-B,60-49919-B
sway to and fro	9-18085-S
sway 成语 saw	53-57403-S
swaying	45-46399-S
swaying gently	28-54350-B
swaying of building in an earthquake	28-53886-B
swaziland	12-22029-B,18-37825-S,30-40072-B
swea	37-35815-B
swear	44-34226-S,58-23007-S
swear an oath of office	19-55531-B
swear brotherhood	49-43703-S
swear by all the gods	38-24136-S,45-7227-S
swear oath	58-8867-B
swear off	26-13243-B
swear or curse at people	50-54057-S
swear revenge on sb	69-3430-S
swear to quit	58-23555-S
swear words	48-48984-B
sweat	8-40783-S,17-24462-S,28-49993-S,28-50088-S,36-56114-B,36-56568-B,36-56770-S,36-56818-S,37-58491-B,38-4412-S,39-8106-S,39-41859-S,44-30574-S,56-25389-S,56-26253-S
sweat and toil	56-26253-B
